series_id,game_id,sequence_number,map_name,team,player_id,player_name,agent,kills,deaths,assists,first_kill,money,loadout_value,net_worth,position_x,position_y
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,NRG,297,Ethan,kay/o,8,16,10,False,1700,1700,3400,10493.0889,3513.21704
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,NRG,2340,s0m,brimstone,19,13,5,False,50,1350,1400,8666.18555,4142.00244
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,NRG,2358,mada,raze,12,18,2,False,500,1700,2200,9536.85352,3105.78101
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,KRÜ Esports,77,keznitdeuS,yoru,16,14,10,False,450,1000,1450,1520.79089,3311.18506
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,KRÜ Esports,28813,Dantedeu5,neon,12,12,4,False,850,5350,6200,3363.88818,1665.4104
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,KRÜ Esports,208,Melser,omen,10,6,13,False,2300,5100,7400,3015.3,1119.74146
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,KRÜ Esports,3078,Shyy,cypher,23,11,4,False,5100,5200,10300,3213.53052,1455.23987
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,KRÜ Esports,74,Mazino,sova,15,10,7,False,300,4200,4500,3242.32666,4197.19
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,NRG,312,skuba,omen,13,14,10,False,100,400,500,2534.94409,3644.64355
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,NRG,2513,brawk,sova,10,16,9,False,150,1700,1850,492.725739,3731.40869
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,NRG,297,Ethan,breach,9,15,5,True,550,1500,2050,3113.88574,4521.6
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,NRG,2340,s0m,cypher,8,15,4,False,50,1000,1050,3303.79395,4431.31641
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,1,sunset,NRG,2358,mada,raze,13,16,5,False,650,2700,3350,2107.59521,-249.280151
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,2,lotus,KRÜ Esports,77,keznitdeuS,raze,22,15,2,False,300,0,300,7747.73,-4225.9165
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,2,lotus,KRÜ Esports,28813,Dantedeu5,yoru,9,18,5,False,400,1300,1700,6977.9834,-4282.15576
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,2,lotus,KRÜ Esports,208,Melser,omen,15,16,5,False,500,1400,1900,5226.51172,-3077.48877
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,2,lotus,KRÜ Esports,3078,Shyy,viper,12,14,3,False,500,1000,1500,6527.21387,-4270.26416
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,2,lotus,KRÜ Esports,74,Mazino,fade,6,17,13,False,350,800,1150,6067.02832,-3939.18872
